,law_2020_2,law_2016_1,govt_trust_2016_2,govt_trust_2020_8,out_2016_1,out_2016_2,out_2016_3,out_2020_1,out_2020_2,law_diff,govt_trust_diff,group
130,0.0,0.18,1.0,0.5,1.0,0.0,0.5,1.0,0.5,-0.18,-0.5,1
131,0.3333333333333333,0.5,1.0,0.5,1.0,1.0,1.0,1.0,0.5,-0.16666666666666669,-0.5,1
132,0.0,0.5,0.0,0.25,1.0,1.0,1.0,1.0,1.0,-0.5,0.25,0
133,0.0,0.31,0.0,0.25,0.8333333333333334,0.0,0.8333333333333334,1.0,0.8333333333333334,-0.31,0.25,1
134,0.0,0.49,0.0,0.25,1.0,1.0,1.0,0.0,1.0,-0.49,0.25,0
135,0.0,0.7,0.0,0.75,1.0,1.0,1.0,0.0,1.0,-0.7,0.75,0
136,0.0,0.86,1.0,0.75,0.5,1.0,0.8333333333333334,1.0,1.0,-0.86,-0.25,0
137,0.0,0.88,1.0,0.0,1.0,0.0,1.0,1.0,1.0,-0.88,-1.0,0
138,0.0,0.4,0.0,0.0,1.0,0.0,1.0,1.0,1.0,-0.4,0.0,1
139,0.0,0.78,0.0,0.0,1.0,1.0,0.5,0.0,0.5,-0.78,0.0,0
140,0.0,0.38,1.0,0.25,1.0,1.0,0.8333333333333334,1.0,1.0,-0.38,-0.75,1
141,0.16666666666666666,0.85,0.0,0.0,1.0,0.0,0.6666666666666666,1.0,1.0,-0.6833333333333333,0.0,0
142,0.0,0.71,0.0,0.5,1.0,1.0,0.5,1.0,1.0,-0.71,0.5,0
143,0.0,1.0,0.0,0.25,1.0,0.0,0.3333333333333333,1.0,1.0,-1.0,0.25,0
144,0.0,0.23,1.0,0.5,0.8333333333333334,0.0,0.3333333333333333,1.0,0.5,-0.23,-0.5,1
145,0.0,0.95,1.0,0.75,1.0,1.0,1.0,1.0,1.0,-0.95,-0.25,0
146,0.0,0.3,0.0,0.0,0.5,1.0,0.16666666666666666,1.0,0.5,-0.3,0.0,1
147,0.0,0.41,0.0,0.25,0.6666666666666666,1.0,1.0,1.0,1.0,-0.41,0.25,1
148,0.0,0.6,0.0,0.25,0.8333333333333334,1.0,0.5,0.0,0.8333333333333334,-0.6,0.25,0
149,0.0,0.4,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-0.4,0.0,1
150,0.0,0.5,0.0,0.0,1.0,1.0,0.5,1.0,0.0,-0.5,0.0,0
151,0.16666666666666666,0.48,0.0,0.5,0.0,1.0,0.5,1.0,0.0,-0.31333333333333335,0.5,1
152,0.6666666666666666,1.0,0.0,0.25,0.6666666666666666,1.0,0.3333333333333333,1.0,0.0,-0.33333333333333337,0.25,1
153,0.0,0.85,0.0,0.25,1.0,1.0,1.0,1.0,0.16666666666666666,-0.85,0.25,0
154,0.0,0.0,0.0,0.25,0.0,1.0,0.0,1.0,0.0,0.0,0.25,1
155,0.3333333333333333,0.41,0.0,0.5,1.0,1.0,1.0,1.0,1.0,-0.07666666666666666,0.5,1
156,0.0,0.85,1.0,0.25,0.8333333333333334,0.0,1.0,1.0,1.0,-0.85,-0.75,0
157,0.0,0.7,0.0,0.25,1.0,1.0,1.0,1.0,0.8333333333333334,-0.7,0.25,0
158,1.0,0.6,1.0,0.25,0.0,1.0,0.5,1.0,1.0,0.4,-0.75,1
159,0.0,0.6,0.0,0.25,0.8333333333333334,1.0,0.6666666666666666,1.0,1.0,-0.6,0.25,0
160,0.5,0.99,0.0,0.25,1.0,1.0,0.8333333333333334,1.0,1.0,-0.49,0.25,0
161,0.16666666666666666,0.51,1.0,0.75,1.0,0.0,1.0,1.0,1.0,-0.3433333333333334,-0.25,1
162,0.0,0.83,0.0,1.0,1.0,1.0,0.8333333333333334,1.0,1.0,-0.83,1.0,0
163,1.0,0.85,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.15000000000000002,0.0,1
